source_id,sink_id,co2_transported,dijkstra_path
32438546,10283,747685.53,"['source_32438546', 'source_1897026', 'source_1897108', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1897108,10283,722484.52,"['source_1897108', 'source_1897026', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1896930,10281,700883.5,"['source_1896930', 'source_1896924', 'source_32438592', 'source_1896947', 'source_1897034', 'sink_10281']"
1897071,10281,696658.41,"['source_1897071', 'source_32438592', 'source_42547427', 'source_1896947', 'source_1897034', 'sink_10281']"
1897135,10285,696350.06,"['source_1897135', 'source_1897057', 'source_1897056', 'source_1896920', 'source_42547331', 'source_1896982', 'source_42547435', 'source_1897046', 'sink_10285']"
42547251,10278,694239.76,"['source_42547251', 'sink_10278']"
32438646,10283,691081.21,"['source_32438646', 'source_32438652', 'source_42547381', 'source_1897023', 'source_1896948', 'source_32438547', 'source_1897096', 'sink_10283']"
32438580,10285,685263.66,"['source_32438580', 'source_1897011', 'source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
42547271,10278,671512.69,"['source_42547271', 'source_1896987', 'source_1897073', 'source_1896978', 'sink_10278']"
1896918,10285,657283.51,"['source_1896918', 'source_1897065', 'source_1897070', 'source_1897046', 'source_1897009', 'source_1897011', 'source_32438580', 'sink_10285']"
1897073,10278,653202.21,"['source_1897073', 'source_1896987', 'source_42547271', 'source_42547363', 'sink_10278']"
1896925,10281,629863.4,"['source_1896925', 'source_1896923', 'source_42547376', 'source_1896930', 'source_1896924', 'source_1897071', 'sink_10281']"
1896979,10283,604346.92,"['source_1896979', 'source_1897062', 'source_1896919', 'source_1896990', 'source_1897020', 'source_1896975', 'source_1897026', 'source_1897099', 'source_42547359', 'source_32438653', 'sink_10283']"
1896977,10285,597034.59,"['source_1896977', 'source_1897011', 'source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
1897013,10277,592430.83,"['source_1897013', 'source_1896959', 'source_1897133', 'source_1897132', 'source_1897055', 'sink_10277']"
42547381,10283,580570.22,"['source_42547381', 'source_1897064', 'source_32438588', 'source_1897029', 'source_32438646', 'source_32438555', 'sink_10283']"
32438647,10283,572344.88,"['source_32438647', 'source_32438546', 'source_1897026', 'source_1897108', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1896988,10278,554895.79,"['source_1896988', 'source_42547391', 'source_1897012', 'source_1897069', 'sink_10278']"
1897026,10283,554706.11,"['source_1897026', 'source_1897108', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1897110,10279,539910.18,"['source_1897110', 'source_1896986', 'source_1897063', 'source_1897067', 'sink_10279']"
32438630,10283,529077.11,"['source_32438630', 'source_1897007', 'source_1897040', 'source_32438641', 'source_32438517', 'source_1897030', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896983,10277,500988.67,"['source_1896983', 'source_1897107', 'source_1897116', 'source_1897066', 'source_1896958', 'source_1897133', 'source_1897132', 'source_1897055', 'sink_10277']"
1896948,10283,497667.43,"['source_1896948', 'source_32438547', 'source_1897096', 'source_1897023', 'source_1897064', 'source_32438588', 'source_1897029', 'source_32438555', 'sink_10283']"
1897099,10283,481942.05,"['source_1897099', 'source_1897108', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
32438655,10273,458946.78,"['source_32438655', 'source_1897112', 'source_1897118', 'source_32438638', 'source_32438636', 'sink_10273']"
42547307,10280,447675.13,"['source_42547307', 'source_42546499', 'source_1897074', 'sink_10280']"
1897063,10279,442973.38,"['source_1897063', 'source_1897067', 'sink_10279']"
1896950,10281,431326.66,"['source_1896950', 'source_1896925', 'source_1896923', 'sink_10281']"
1897106,10273,413798.62,"['source_1897106', 'source_32438638', 'source_1897112', 'source_32438655', 'sink_10273']"
1897123,10284,407685.59,"['source_1897123', 'source_1897098', 'sink_10284']"
1897127,10283,400717.91,"['source_1897127', 'source_1897040', 'source_32438641', 'source_32438517', 'source_1897030', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896933,10285,397844.17,"['source_1896933', 'source_1897135', 'source_1897057', 'source_32438580', 'source_1897011', 'source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'sink_10285']"
1896942,10283,371286.65,"['source_1896942', 'source_1897030', 'source_32438517', 'source_32438641', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1896981,10285,359389.23,"['source_1896981', 'source_1896934', 'source_1896977', 'sink_10285']"
1896913,10283,335268.63,"['source_1896913', 'source_1896949', 'source_1897097', 'source_1896976', 'source_1897060', 'source_32438585', 'source_1896985', 'source_32438546', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
32438558,10283,334839.38,"['source_32438558', 'source_32438647', 'source_32438546', 'source_1897026', 'source_1897108', 'source_1897007', 'source_1897127', 'source_1896942', 'source_1896974', 'source_32438593', 'sink_10283']"
1896927,10273,329033.42,"['source_1896927', 'source_1897118', 'source_32438638', 'source_32438636', 'sink_10273']"
42547340,10273,326802.84,"['source_42547340', 'source_42547432', 'source_1897106', 'source_1897118', 'source_1897112', 'sink_10273']"
32438547,10283,323547.01,"['source_32438547', 'source_32438540', 'source_1897096', 'source_1896929', 'source_32438652', 'source_32438646', 'source_32438555', 'sink_10283']"
1897115,10278,309345.57,"['source_1897115', 'source_42547276', 'source_32438640', 'source_1896978', 'source_1897073', 'source_1896987', 'source_42547271', 'sink_10278']"
32438638,10273,307381.48,"['source_32438638', 'source_1897118', 'source_1897112', 'sink_10273']"
32438641,10283,302077.57,"['source_32438641', 'source_32438517', 'source_1897040', 'source_1897007', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
42547435,10280,289266.57,"['source_42547435', 'source_1896982', 'source_42547331', 'source_1896920', 'source_42547298', 'source_1896941', 'source_42546499', 'sink_10280']"
1897004,10281,288453.15,"['source_1897004', 'source_32438569', 'source_1896923', 'sink_10281']"
32438569,10281,259054.45,"['source_32438569', 'source_1897004', 'source_1896923', 'sink_10281']"
1897011,10285,256474.98,"['source_1897011', 'source_1897009', 'source_1897046', 'source_1897070', 'source_1897065', 'source_1896918', 'source_1896962', 'sink_10285']"
1897101,10287,240576.82,"['source_1897101', 'source_32438552', 'source_1896932', 'sink_10287']"
1897118,10273,232851.28,"['source_1897118', 'source_32438638', 'source_32438636', 'source_1897106', 'sink_10273']"
1897107,10277,227782.14,"['source_1897107', 'source_1897116', 'source_1897066', 'source_1896958', 'source_1897133', 'source_1897061', 'source_1897132', 'source_1897055', 'sink_10277']"
32438636,10273,216164.25,"['source_32438636', 'source_32438638', 'source_1897118', 'source_1897112', 'sink_10273']"
1897112,10273,200371.04,"['source_1897112', 'source_1897118', 'source_32438638', 'source_32438636', 'sink_10273']"
1897102,10273,170456.2,"['source_1897102', 'source_32438655', 'source_1897118', 'source_32438638', 'source_32438636', 'sink_10273']"
42547276,10278,163401.42,"['source_42547276', 'source_32438640', 'source_1896978', 'source_1897073', 'source_1896987', 'source_42547271', 'sink_10278']"
1897129,10281,158899.63,"['source_1897129', 'source_1897035', 'sink_10281']"
32438537,10281,155344.5,"['source_32438537', 'source_1896950', 'source_1896925', 'source_1896923', 'sink_10281']"
42547432,10273,146545.27,"['source_42547432', 'source_1897106', 'source_1897118', 'source_1897112', 'sink_10273']"
1897130,10284,142502.3,"['source_1897130', 'sink_10284']"
1896914,10278,136108.31,"['source_1896914', 'source_1896987', 'source_1897073', 'source_1896978', 'sink_10278']"
42547386,10283,132959.51,"['source_42547386', 'source_32438593', 'source_1896974', 'source_1896942', 'source_1897030', 'source_32438517', 'source_1897040', 'source_1897007', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
42547376,10281,127144.88,"['source_42547376', 'source_42547394', 'source_42547427', 'source_32438592', 'source_1896947', 'source_1897034', 'sink_10281']"
32438653,10283,106448.06,"['source_32438653', 'source_42547359', 'source_42547380', 'source_32438630', 'source_1897007', 'source_1897040', 'source_32438641', 'source_1897030', 'source_1897059', 'source_32438593', 'sink_10283']"
1897131,10285,99188.05,"['source_1897131', 'sink_10285']"
1897020,10283,98041.813,"['source_1897020', 'source_1896975', 'source_32438517', 'source_32438641', 'source_1897127', 'source_32438630', 'source_42547380', 'source_42547359', 'source_32438653', 'sink_10283']"
1896912,10273,88639.675,"['source_1896912', 'sink_10273']"
32438640,10278,80156.304,"['source_32438640', 'source_42547276', 'source_1897115', 'source_1896978', 'source_1897073', 'source_1896987', 'source_42547271', 'sink_10278']"
42547427,10281,73530.639,"['source_42547427', 'source_32438592', 'source_1896924', 'source_1896930', 'sink_10281']"
42546500,10273,66131.935,"['source_42546500', 'source_1897106', 'source_1897118', 'source_1897112', 'sink_10273']"
42547394,10281,48348.914,"['source_42547394', 'source_42547376', 'source_1896930', 'source_1896924', 'source_1897071', 'sink_10281']"
42546499,10280,40290.761,"['source_42546499', 'source_42547307', 'source_1897074', 'sink_10280']"
42547436,10283,30112.043,"['source_42547436', 'sink_10283']"
